tvshow,supachalasai,sinthorn,social,food,blueplanet,bangrak,siam,ratchada,isolate,silom,home,lumpini,wahkor,beauty,library,chalermthai,korea,mbk,family,chalermkrung,klaibann,siliconvalley,region,cartoon,jatujak,rajdumnern,horoscope,religious,gallery,theoldsiam,camera,gadget,greenzone,art,writer,pantip,uid
26,17,12,203,29,59,989,1103,18,48,48,21,115,15,67,53,11,10,13,41,24,14,40,44,9,12,1,9,5,22,13,63,4,5,6,6,2,pfekfc1ah10GoW9cS4E
419,31,84,156,335,74,93,92,52,105,71,145,96,134,102,67,455,19,183,61,30,27,37,32,13,54,13,132,31,3,8,3,3,4,8,3,1,op16d0y0ih6q69CSndI
212,261,356,176,127,387,105,62,106,47,217,101,77,229,53,107,74,19,25,56,35,110,24,33,65,11,13,8,8,28,28,4,5,4,2,0,1,oylef2pew8HrcNq6h3Y
127,738,249,130,35,48,20,47,89,25,133,92,147,44,33,82,169,5,419,76,143,5,49,16,12,71,18,6,15,23,20,13,54,12,3,4,1,pb2ivk9uzl5PF2hIBpT
687,23,93,363,549,45,111,61,78,59,177,135,125,60,112,38,60,15,21,165,34,27,7,39,3,34,4,8,2,8,12,5,2,7,0,0,3,ogb9sxs5a6alVMetPrv
2650,7,22,18,8,1,10,15,4,150,11,19,12,3,11,26,70,10,2,6,55,3,2,4,5,2,4,0,2,1,2,2,0,0,1,3,30,ocysp4ezqSygijub3Th
622,24,146,431,100,34,189,164,238,64,296,85,70,30,38,66,65,5,52,161,53,27,48,25,76,9,9,7,4,2,11,1,4,5,2,2,6,opgyi2tzvj8erusoNtW
628,582,445,63,14,32,10,14,34,162,90,54,45,29,30,45,399,33,180,1,67,13,25,22,21,3,76,9,3,4,14,2,8,3,3,1,7,ng54dfn5g1aKq4vs38g
177,11,13,109,1,6,23,37,8,1424,15,9,16,23,6,51,792,33,26,4,223,10,19,12,74,8,1,11,5,6,2,2,3,2,1,0,6,p7a45ze1x73cOcUny1a
422,127,330,597,217,136,67,72,100,2,226,107,163,39,57,36,46,26,68,38,40,33,18,39,9,11,15,17,59,3,26,2,3,12,4,0,1,pcj6fwgudW38UdLlq4p
34,17,197,299,156,113,485,171,198,0,253,178,216,41,119,25,1,5,94,244,2,95,4,40,2,14,3,41,59,15,30,1,3,7,3,2,0,ox89r364m0MoThpvk2f
185,11,22,117,22,22,510,267,6,82,29,18,104,21,151,59,105,1024,11,71,150,69,23,3,6,7,1,0,5,4,8,48,3,1,0,0,1,p2e4obgzzqK1s95qpt5
1000,232,42,218,26,75,67,87,18,9,36,61,190,18,30,46,127,7,18,19,119,19,16,26,20,44,140,12,16,41,151,188,5,6,32,1,4,o8uo0v52uiZ97fVG9et
61,22,677,378,88,56,122,88,154,18,217,98,78,137,32,358,43,8,82,104,9,75,19,37,11,22,29,12,80,11,15,2,0,6,9,6,2,p1d2h88xks8BUXzKBWG
45,0,6,25,20,5,10,53,30,23,31,31,224,13,2324,2,12,167,5,29,15,4,2,5,0,8,2,51,14,3,1,0,0,5,0,0,1,ph0j5oodbyLL9kOA6Dv
72,231,1064,227,35,118,117,61,488,19,111,66,38,108,12,71,25,6,50,31,5,111,5,18,4,13,25,1,1,4,9,4,3,12,1,0,0,pbci97p2BkXdvWdsHs
849,23,57,149,193,157,65,94,38,27,56,60,81,58,220,125,102,25,49,33,40,53,31,50,15,11,11,358,86,11,8,2,5,2,6,6,8,pa16njcl3wE6VlQtwv9
123,10,45,337,332,106,642,229,29,29,76,57,174,7,314,23,10,13,6,433,13,30,2,35,5,15,2,2,9,19,15,5,0,2,4,6,4,pdl381o55B0pauynWjv
30,1736,20,28,6,28,11,24,267,1,23,20,34,612,8,70,8,1,18,4,6,9,38,20,3,44,3,6,16,4,4,18,25,13,5,0,0,oj3076g7iFdMp0R4vX4
270,35,456,310,400,237,111,76,152,25,166,142,155,26,142,28,7,36,29,59,74,51,16,49,0,28,6,1,4,18,40,2,3,5,1,1,1,p8hktm6fhk6thhgstzR
219,41,123,262,398,337,89,73,202,42,89,361,106,80,95,53,58,28,22,79,54,112,12,49,8,48,10,16,8,18,20,7,9,19,4,9,2,ou0heahd5sgz0ESMToT
185,621,153,261,142,50,62,80,133,32,178,75,125,256,40,101,246,15,20,35,44,32,29,36,77,13,39,11,26,1,19,0,5,15,3,0,1,p4cqfsy5fca2E7W1ko1
91,8,313,89,407,308,109,25,42,3,95,553,82,20,301,10,7,100,106,17,8,13,77,116,2,33,3,12,11,135,11,28,5,10,4,4,2,p4spcb5l0cYpLaKx20C
297,28,90,122,24,38,40,240,18,22,76,18,19,173,18,1290,88,15,7,42,83,100,16,40,39,19,27,40,53,9,11,4,3,4,20,27,0,nz2kvcdlj3rB8QqKf5t
32,573,473,477,168,227,29,73,57,18,207,69,119,139,54,68,22,5,40,16,8,44,35,52,66,7,9,7,15,16,11,5,12,4,2,1,0,pg8dz711bh1dpPr9No6t
609,603,52,137,337,61,40,62,49,58,93,35,107,110,84,88,62,45,41,42,71,33,61,33,40,136,15,2,7,10,5,1,3,10,9,0,8,p7ij0ltun7nUM1v61WH
8,11,17,91,30,130,996,756,32,130,51,9,80,8,49,31,9,11,16,25,10,7,25,76,132,13,0,14,10,70,9,287,6,4,2,2,1,p51xvwrdl0q0vLAl0D0
939,31,64,231,138,69,94,61,55,277,89,48,78,52,84,55,206,219,22,56,124,40,18,26,12,23,5,4,2,7,9,0,1,6,2,1,9,pbmhkgblyIj1UA80gQ9
20,11,20,141,805,317,69,97,32,14,41,91,256,130,53,83,29,14,9,281,8,303,16,44,109,50,1,9,13,31,25,6,6,11,7,5,0,pdg7fv9q3yz4ccN3BwK
37,7,293,276,57,82,94,70,87,21,427,1165,48,69,30,18,14,9,21,30,14,13,35,50,10,61,2,22,8,1,10,6,22,27,18,1,1,o5r71rkvx9it5ek4cA1
24,4,59,345,26,31,1301,641,18,23,109,24,151,33,52,24,2,4,5,143,6,19,7,5,1,10,4,15,21,3,34,0,3,6,0,0,1,ph8w1s2w0fnPLzumcak
704,48,92,122,434,204,13,19,119,46,90,95,168,119,73,161,239,14,29,16,31,66,5,82,9,15,24,7,14,46,15,8,1,9,11,4,2,p94p08iywJzdTqjW8b
2126,31,51,41,18,16,12,43,9,60,32,29,33,33,58,73,204,21,27,19,58,12,47,7,13,3,29,3,4,1,0,3,2,2,7,3,22,paru8mcvxUdoL7NIlb4
273,1262,47,152,35,31,57,51,176,84,56,211,59,79,24,43,190,3,1,29,30,12,21,39,9,27,121,4,5,2,3,2,2,4,2,2,3,p33nlgi4rKcFOnLydnH
98,8,79,228,394,156,113,105,43,12,96,391,106,20,30,35,6,34,14,434,13,71,10,96,3,450,3,14,10,15,24,3,21,12,4,0,0,pcrybjfyci5qXJf9xnd
26,30,151,396,467,163,198,145,138,12,151,532,165,81,21,40,2,7,21,40,9,37,18,93,2,79,8,20,23,7,27,4,3,32,1,2,0,oi4128ur9u9tmd3nUxG
229,604,115,205,291,175,40,24,409,55,77,93,56,69,19,41,106,13,227,32,30,11,59,48,18,17,5,7,6,27,10,10,11,9,1,1,1,peufb59cpgZsXnCye0V
854,19,87,180,248,77,94,95,147,22,71,317,134,20,170,31,26,15,43,44,34,19,8,44,3,77,5,27,13,17,160,6,11,14,2,2,14,os56ghs3hlJg1fSWi2e
22,6,66,156,1546,203,48,44,34,5,98,106,133,56,45,55,10,13,8,45,7,158,4,113,2,63,4,5,15,33,18,3,0,22,1,0,3,otx64xci8GFQbHD35GF
742,44,88,126,122,158,35,75,85,30,85,57,43,129,113,320,294,35,14,38,71,278,9,26,26,19,7,19,15,9,11,1,0,7,8,4,5,oj7gf35keD3Komwat9S
2172,6,15,43,93,9,24,14,10,222,16,27,24,6,29,47,243,8,2,21,50,8,4,11,2,2,2,8,9,0,10,2,1,0,2,0,5,or3wtjc506YiZ08d9pw
209,1466,677,102,15,36,32,51,104,21,60,50,73,14,39,16,32,8,9,4,23,5,4,33,0,8,9,15,12,5,4,4,5,1,0,0,1,ok36owoqcR9tv3xaAH1
134,43,33,121,77,51,118,54,34,1798,49,28,34,21,13,24,50,20,8,33,276,21,4,17,4,59,1,2,3,4,8,1,1,2,1,0,0,o8n9ntc1y55tkSAART7
279,22,114,252,38,41,372,390,88,68,403,33,140,36,175,90,60,6,13,145,18,37,5,21,7,30,8,170,42,5,24,3,3,2,1,4,2,p1ewq911ip
33,1115,0,7,1,3,3,13,2,7,1,0,6,0,7,7,24,1780,5,2,106,4,1,2,11,1,0,0,0,0,0,0,0,0,1,2,2,pctdjsmy6X54Ppr4YUG
1281,23,97,88,51,46,10,18,8,343,56,24,69,56,148,121,153,232,65,16,88,20,68,4,14,18,4,2,2,9,4,2,0,0,3,0,3,p9t8p2ajuRXXN522xMH
0,17,8,17,90,1891,7,8,171,1,5,0,5,4,5,18,2,34,7,6,3,129,3,254,2,9,0,1,9,358,15,54,2,1,8,1,1,ob04v05dcFY00ymNQWJ
214,1256,71,409,14,41,118,174,51,26,100,68,80,42,20,40,38,10,24,38,33,39,13,22,3,9,82,43,22,2,12,0,7,11,3,9,1,ox71sjihtxAxASsKGu6
404,26,23,127,425,340,284,141,27,28,52,26,168,29,195,93,20,21,21,40,41,405,12,72,7,8,4,12,8,45,12,7,1,2,9,8,2,nc6kct42wWQupsUqDKE
80,318,48,103,81,68,14,26,475,666,26,29,31,243,6,49,104,19,82,6,214,17,57,28,181,15,93,7,17,5,3,6,19,7,2,0,0,pf3cwmz5v93XybNXPe3
424,38,11,59,84,40,86,202,9,103,28,12,54,91,162,187,505,101,13,43,404,93,26,8,268,28,9,7,11,10,3,3,0,1,11,7,3,p838shhvjMPE4h1vixT
136,18,33,195,46,16,96,106,36,26,67,32,107,261,28,130,262,10,8,33,62,18,19,24,34,278,69,200,730,0,14,2,12,20,10,4,2,pcrbkidzyr5xJF8bmkr
241,51,108,425,147,95,179,340,98,101,127,80,94,105,48,109,82,20,18,130,49,80,22,44,11,24,28,155,29,6,18,3,3,9,3,57,3,pdb2166dwMZgyMqkswJ
881,57,106,310,57,31,214,115,68,90,112,86,101,35,51,82,147,25,36,311,51,36,12,17,6,18,10,35,10,0,16,1,1,6,4,0,2,p2mlk4276
144,254,89,108,150,104,21,47,407,96,59,88,57,369,56,74,223,16,127,35,101,28,109,21,113,35,8,5,9,11,3,50,100,16,5,0,2,o5rvswj31mI7wuRsoKx
16,15,2898,7,5,13,2,8,3,2,39,18,12,4,15,18,8,3,17,2,1,2,7,2,0,9,2,2,2,0,2,1,0,1,2,0,1,pedpx1y0qysOugUNaXW
29,146,67,218,42,87,22,60,827,2,43,54,86,833,11,149,79,3,18,15,12,20,42,64,11,57,3,11,25,7,4,5,34,41,6,6,0,osht9132t2ioX3IB2Xy
342,37,49,159,283,650,94,124,59,66,94,71,92,42,260,58,57,34,11,61,28,58,6,117,13,32,0,31,5,119,21,19,6,9,9,21,0,p4dzxroqaokC7eg0aEf
134,26,406,192,188,81,89,91,33,36,259,65,81,291,33,369,55,18,39,24,111,191,85,21,7,50,23,7,41,14,28,8,3,27,10,1,0,pec1jjel65C0jkdWtzt
539,440,25,58,44,6,18,19,10,38,26,25,6,61,6,268,333,19,270,4,184,9,252,10,260,2,3,1,6,3,39,2,109,0,2,38,1,mik17acxr7iUGvkwsGU
1632,27,66,110,35,91,26,63,20,29,101,33,29,17,30,178,154,105,30,24,87,39,31,25,26,20,6,5,15,11,5,16,0,3,14,20,13,pfvmjseg7AaV0FluFaW
588,8,22,472,5,7,260,254,8,30,48,8,125,42,40,55,687,9,6,21,72,8,14,15,19,12,5,80,172,0,21,1,1,4,4,4,9,p836ei8tkdir2PRpYbO
1030,19,15,39,1177,93,20,32,9,0,61,82,92,21,44,26,55,80,5,15,54,21,7,60,6,12,0,4,7,16,4,4,4,4,2,4,11,ovhvutlc8Ezh4WYV96N
34,21,118,160,318,55,44,114,177,19,102,580,83,269,31,52,9,5,154,87,12,62,267,50,6,52,17,56,5,11,7,63,66,19,4,6,0,n2q7yqpabJLzRq71S60
122,982,35,66,363,419,34,26,153,12,58,103,48,110,56,39,26,20,121,13,21,57,14,71,2,11,2,4,4,62,3,47,24,3,3,1,0,p12i7j1ukYNENP9qILq
23,29,1016,161,46,731,19,30,36,20,121,34,72,25,46,34,8,15,289,10,2,195,34,25,0,10,15,2,10,24,17,24,6,2,3,0,0,ozuiso6ncvOvEXbUtQU
928,401,53,108,61,82,100,70,57,129,48,40,80,221,94,65,152,15,18,38,169,14,17,31,2,42,8,27,16,16,8,7,1,9,2,3,2,ow1pfvhsl0NnY90qoU7
50,12,36,30,103,1569,15,26,118,18,21,5,9,13,15,15,6,9,11,23,8,24,0,606,1,11,1,8,22,259,11,55,6,7,7,2,1,ofe8xikpdvBvAh1m2Ou
104,684,111,84,68,871,19,22,69,81,30,53,81,36,50,25,11,12,361,12,9,86,49,43,0,11,7,1,2,63,4,21,43,3,3,1,1,opklvxklgzxBvw4aLkb
6,11,82,309,21,29,810,574,33,42,84,40,202,42,100,24,5,7,13,199,5,8,9,30,2,328,8,30,19,4,15,5,4,8,0,23,0,phfa7h4rnl568gvmwM5Q
3,392,7,61,167,10,19,84,27,15,29,20,1271,25,639,9,1,9,13,17,6,6,4,16,0,20,120,0,1,0,37,0,92,10,1,0,0,paq3f1ynoBsXctFAbOh
189,148,183,241,123,59,113,52,588,321,116,116,37,125,22,47,89,62,29,37,185,39,11,49,57,21,7,7,6,10,9,8,8,10,3,3,1,p31tylgz9
200,24,65,114,180,526,27,27,83,30,51,50,47,45,42,49,17,11,906,14,8,77,54,173,2,18,6,14,116,54,30,46,13,6,2,1,2,n51az0lcp4nL4nfPWDh
28,208,60,108,26,38,18,62,41,2,39,57,94,1058,19,149,38,1,67,11,11,10,710,24,18,51,3,26,35,11,15,10,31,33,15,0,1,pavhfccugGUi52reZUZ
110,8,2,16,55,687,16,21,33,3,8,1,7,17,18,22,8,807,20,6,71,38,7,190,4,22,0,1,26,680,8,191,4,10,9,1,1,pfwnj61czhj1gC5wkLpl
98,1805,19,27,3,9,21,34,10,20,11,6,71,33,19,50,348,4,14,7,8,6,22,9,436,6,0,4,4,2,0,4,9,0,5,2,1,nzlw08pniGGzYiK2fAK
15,219,394,207,12,50,11,38,1129,11,71,404,22,189,4,29,9,4,7,13,9,4,37,72,0,9,63,9,6,4,11,3,44,15,2,1,0,pbdiakc0gW25DKEZXIO
4,9,180,549,61,14,39,143,57,4,1016,72,183,349,25,102,2,1,8,40,7,21,17,31,6,49,11,50,17,4,32,1,1,19,3,0,0,ok37qbcum7JjrV3XlV
112,576,132,147,68,88,67,86,70,63,111,73,91,560,15,192,53,19,41,38,20,123,63,24,139,78,4,7,15,2,17,0,6,20,5,0,2,pd8j2o3053R681Z3nyI
41,10,1148,354,49,123,117,87,136,21,305,160,77,53,32,47,24,5,70,41,8,51,37,31,2,20,11,9,12,3,25,3,2,11,1,0,0,ofniiycpkCYbDE91xcy
14,16,1,11,80,638,25,28,35,3,8,8,7,24,16,23,7,14,68,4,7,32,28,186,6,102,0,2,17,1357,11,310,9,10,17,1,0,ova0etz5hklexY3MU2d
11,14,70,236,14,1196,29,30,702,0,28,12,14,18,2,26,2,31,4,12,0,483,1,71,0,14,4,2,7,55,10,14,8,2,2,0,0,n908a2dshEpqR68Pgmv
2871,9,12,11,4,1,7,2,1,8,6,2,3,3,4,33,49,13,1,3,34,0,0,3,6,2,2,0,2,0,0,2,0,1,1,4,23,ooude16c3p9WXL38aqC
1042,12,17,108,102,232,194,245,31,301,30,9,120,10,339,22,32,20,7,82,67,13,5,17,5,1,0,17,6,26,2,2,1,0,2,0,3,ozar7klqk
191,8,83,1153,28,12,266,341,27,17,122,44,198,48,181,64,9,13,35,69,24,18,34,24,4,19,9,14,18,1,27,3,5,12,1,0,0,ozm4tzlypX59JVS1x6R
264,38,214,283,249,86,233,96,155,15,243,55,109,186,65,70,234,23,35,126,20,125,49,26,19,12,18,6,12,4,23,1,13,8,2,3,1,p9zzu011byxBZxUfp9Xn
155,765,66,141,47,34,125,93,43,42,82,46,102,120,38,76,77,18,58,70,25,32,29,21,229,49,152,301,43,8,11,2,5,6,5,4,1,pdq9j9fx0AJnTEhd7bs
714,32,77,229,65,25,164,185,39,246,93,37,110,139,75,204,163,38,22,74,118,45,22,35,22,16,26,28,36,4,21,1,2,2,2,4,5,pcf8myk3D4AeKE2nrs
72,34,142,167,117,135,83,50,89,23,94,132,111,180,23,65,11,10,90,27,8,34,34,44,4,23,3,4,13,94,27,1149,15,10,3,0,0,p06zy01w5
31,11,909,164,31,74,33,79,233,17,429,214,47,21,15,79,12,2,258,133,7,36,35,40,9,13,13,5,36,16,55,15,13,33,0,0,1,p61ftqkfxk16UP9fNrp
198,1471,171,56,20,104,25,36,69,58,129,39,69,63,64,151,74,39,30,21,57,47,37,38,5,2,16,0,1,11,13,0,0,1,0,0,2,pbyp7u4p7Ibjck4cS33
22,20,253,880,33,24,231,218,401,12,180,313,107,43,72,21,4,2,62,38,9,16,10,40,1,21,10,16,18,1,18,1,2,14,3,0,0,peeqslduqEBOEuerBLt
82,30,50,394,119,608,61,141,63,13,62,85,294,37,443,29,4,35,28,80,5,95,15,85,3,31,0,42,8,61,71,14,7,12,2,7,0,o8nqstiup79aip4VF6v
39,634,38,133,9,64,3,16,1133,21,19,17,11,501,3,153,64,0,10,7,9,7,11,52,37,11,22,5,16,21,1,11,20,5,9,0,1,ooy013e7pTjA2CM3NZ3
14,11,83,444,3,3,1054,842,34,27,142,15,150,26,23,57,2,3,6,81,4,14,7,13,1,1,1,10,8,1,24,0,3,1,0,4,0,ph3rf6nchvZQmeAo49Z
7,5,2696,10,7,5,6,9,4,12,32,18,11,9,8,4,15,0,16,0,1,1,56,4,1,1,5,0,2,6,1,155,3,1,0,0,1,o8t8qmg0gyYOLE2Ss9d
1100,4,14,42,10,17,7,34,21,274,7,4,22,8,85,50,1134,5,26,7,81,6,7,24,59,10,17,2,3,5,0,1,0,0,5,0,20,p8zlzt7jxNqzY3ecLZj
161,40,84,470,37,50,105,170,552,107,99,84,140,38,25,41,226,10,24,360,30,15,31,48,29,21,12,28,16,1,24,11,8,9,2,1,2,oialvrhy0b4EwNR9mPx
866,73,88,156,390,76,59,47,45,120,49,176,125,137,117,49,124,14,25,148,67,15,12,22,12,54,3,6,4,8,11,2,3,3,3,1,1,pd3gk71u44X96ZeFynd
581,48,110,169,550,51,114,43,29,163,88,327,146,29,196,35,28,13,14,141,26,24,11,31,3,50,2,17,4,14,23,4,2,14,5,5,1,p22tz9ymyJgCuK9TpfK
24,248,87,171,5,27,8,27,35,35,46,41,10,25,6,7,7,0,1671,4,3,2,514,14,1,0,0,2,2,9,2,25,47,3,2,0,0,op06rnbqh6XQwcz4PHv
16,24,20,79,18,201,44,64,876,10,36,25,16,32,8,13,21,5,86,5,8,9,66,99,10,21,4,5,7,172,4,1005,73,8,19,0,1,pb2q7shb1pRfe8CrTB
81,149,71,114,182,41,51,75,58,48,58,646,414,247,164,57,52,10,61,48,25,15,210,28,12,27,0,18,13,8,13,5,85,14,10,0,0,pe455lk3fdlLe51as2q
309,10,627,327,326,69,27,53,109,11,220,463,71,22,22,29,8,6,32,17,23,21,6,59,1,24,142,9,5,7,23,3,14,14,1,0,0,pgkqdg5hfAvTDCsI9De
202,83,311,119,103,125,58,63,59,52,120,80,50,161,86,244,69,455,41,27,59,82,20,38,25,13,87,178,32,12,11,16,8,9,5,1,2,p5ngsr8yybt9nBso1Ue
300,29,33,265,55,116,132,440,29,66,70,7,118,104,315,155,210,13,2,155,97,24,7,73,19,10,99,122,18,13,2,1,0,1,1,2,2,oyf6lung7ul5rmtwGRv
124,39,130,303,62,168,218,140,198,36,87,426,150,253,21,48,54,3,20,43,15,26,37,80,2,67,5,35,42,144,32,35,31,25,5,0,1,o6524xgkq9gbRvYQewT
88,841,38,377,6,5,33,91,12,27,55,34,41,38,7,74,61,4,38,14,11,7,221,18,891,10,15,4,11,0,2,1,21,3,3,0,3,oj2zx9tkptcs3CiyKHn
32,38,84,797,32,29,100,257,196,56,337,58,135,23,56,50,20,7,186,37,25,24,336,38,38,16,18,4,10,3,17,15,17,8,1,1,3,orstc64hnF1aSQpjn4Z
418,27,122,284,105,127,105,127,106,108,108,132,127,160,144,170,186,14,34,162,44,146,7,23,23,13,9,10,6,10,17,4,1,9,11,3,2,mocise2bv76Y5Szf7fy
13,58,151,324,13,56,60,66,1027,24,60,201,35,72,4,18,2,0,652,8,3,5,91,54,2,16,4,18,1,8,2,14,32,6,2,2,0,neic75jmyYODLzoGKL9
347,60,288,193,119,419,97,62,124,82,141,77,100,73,119,69,176,80,61,52,65,100,26,52,7,6,8,13,3,45,26,8,0,3,2,0,0,p9yhfl3qQMB9vxVlI3
1767,27,37,54,77,40,19,31,46,41,75,55,16,28,39,48,82,355,10,16,82,21,26,31,7,13,5,5,0,8,8,2,1,8,5,0,18,pfszrvjowCFotH1Ykmx
260,43,33,104,61,38,99,102,29,1527,36,22,29,45,22,51,124,37,24,36,266,15,12,21,17,12,1,12,4,2,5,1,1,3,2,1,4,oza7nttxg
360,85,31,113,20,26,147,312,16,411,34,30,189,83,143,81,222,98,36,36,244,53,35,10,219,9,6,22,11,9,4,1,0,0,1,1,1,osg1l35tzho6oC5mrs5
312,890,63,105,42,54,52,65,37,36,61,62,85,83,24,75,71,12,653,36,25,18,50,22,5,5,5,7,15,46,17,27,30,2,5,0,2,p8nflvi6ye9LoJp5ixH
27,70,69,196,381,142,26,46,66,3,47,228,72,512,10,129,44,10,117,14,7,232,40,33,3,34,339,16,12,11,7,96,25,24,8,1,1,pc3k8ilvqOch7QsKRbS
56,13,9,17,51,32,15,19,7,2262,7,7,31,2,107,8,30,9,20,3,338,3,6,15,14,3,0,1,3,4,0,3,1,1,1,0,0,p95qd2j16EULOuy9iRZ
479,55,176,313,279,161,65,79,76,185,136,201,99,37,74,39,45,4,5,135,23,139,4,59,2,85,16,5,16,16,48,7,1,25,0,3,4,ntovdv41251wNH1vrTU
175,47,205,309,189,54,148,164,113,17,289,272,195,45,94,37,20,1,16,241,17,85,13,32,2,59,1,150,16,17,44,3,2,10,1,13,0,pf6im0dwvaaXtdPnL3m
384,31,84,363,124,88,191,176,68,85,295,97,312,120,66,47,74,38,25,92,38,26,11,29,3,88,5,28,14,10,24,2,0,10,4,19,24,opf3l68629e5wuavRBM
2735,30,24,11,5,5,5,3,3,12,8,3,14,7,8,40,63,12,3,2,27,5,3,4,2,3,0,5,1,1,2,3,1,2,3,5,32,pb1igjgb9zDi80Grxcb
251,28,47,287,25,42,180,401,37,499,83,32,173,123,161,97,90,56,15,123,144,46,20,14,15,24,3,17,21,11,7,9,0,3,7,0,1,pfhx8p41q719WkNGHb2H
162,101,319,231,100,109,92,60,497,29,273,219,81,169,48,42,16,11,82,48,26,33,42,49,7,76,31,5,7,26,22,2,58,16,2,0,1,pbqpd5ompnzT7DdBee1
138,46,72,161,96,60,12,36,146,28,42,380,45,560,34,106,84,9,175,10,25,16,440,35,15,63,15,7,29,4,14,8,110,29,20,15,7,ovvkpvc68To1audyBjU
14,25,76,221,20,34,664,529,122,515,53,61,134,26,33,44,7,6,56,61,16,22,53,25,12,51,78,17,38,6,18,4,15,13,3,7,12,p7a6gc5cgiFQcfqN8n6
27,682,75,138,85,212,27,35,356,1,42,177,69,456,20,72,6,3,121,18,2,30,44,50,3,91,88,7,7,12,5,4,25,93,6,2,0,pe9t834rh6zm0f9cgKg
55,41,191,638,117,34,216,229,79,21,299,44,106,37,28,60,58,2,218,41,18,12,53,26,246,9,92,39,16,6,23,2,10,4,6,14,0,of9uhv8kwCaumU808jX
10,68,616,338,46,91,26,34,598,3,419,463,68,43,10,24,4,0,18,12,6,35,11,32,0,21,10,14,5,10,25,5,8,14,3,0,0,paonq0fkqZqu1ooj2qH
51,494,79,562,86,81,117,105,237,11,109,143,134,200,35,48,28,13,69,55,21,23,83,37,22,40,9,9,16,12,17,7,113,20,3,0,0,pb0how987kZv7X4tkDT
184,746,199,223,77,88,103,75,353,47,173,84,81,210,27,83,27,12,28,52,22,37,11,63,3,18,5,5,2,5,27,3,2,8,3,2,0,p7ik91k5a2GdqpWixR6
110,5,85,149,506,315,101,80,47,12,131,114,64,80,31,185,24,12,12,72,18,542,7,64,1,48,2,128,20,29,74,0,5,9,2,4,0,pbzqrf18kZV9mH1ZeA
151,50,426,239,242,30,27,64,36,34,127,80,831,32,153,23,15,5,70,40,10,6,28,31,4,127,28,9,22,15,96,21,8,4,1,0,3,olb8muaidK97KVyepID
286,37,82,215,329,189,484,178,56,40,115,103,130,63,129,68,60,36,16,204,26,69,11,63,3,18,1,8,7,16,28,4,2,4,3,5,0,ozghhh4f9
11,17,627,145,265,135,12,37,361,7,70,359,57,187,20,40,8,3,56,11,5,11,52,79,0,74,249,7,5,9,112,6,31,17,2,0,0,p8wczevco1HfHDedXdt
8,11,865,330,41,70,115,254,209,21,224,130,47,23,16,25,27,7,416,41,3,9,84,23,8,5,12,5,5,9,13,11,13,3,2,1,0,phah9r3iahhHF5nhbtm
3,8,11,155,15,184,1372,719,22,88,80,7,86,4,30,25,3,2,16,42,3,5,22,91,4,5,2,8,3,15,24,20,6,2,1,0,3,obqejpynflE3F7unlKw
184,25,445,316,173,59,118,132,106,40,202,246,114,198,96,109,129,14,39,61,13,48,20,38,9,28,6,14,23,10,36,2,7,16,4,1,4,pfpyt522vjuksl3rezxt
574,24,80,444,328,62,110,119,111,114,147,31,195,47,115,30,81,94,45,55,105,23,7,26,6,31,3,25,12,5,24,5,0,2,1,3,1,oyy4h7jimM0MCXrIM9V
2369,49,62,43,12,19,23,16,11,38,26,9,12,17,40,51,98,18,6,9,49,6,3,15,6,7,19,3,4,3,3,4,2,4,4,4,21,o4wrsh9aicDl1PVmBhr
447,64,74,162,119,77,116,59,55,573,96,85,50,85,67,76,78,225,56,52,195,39,43,20,72,28,6,9,2,14,10,8,7,6,6,1,2,pd03855mxAVczzRQqHQ
517,948,16,36,11,12,6,36,8,26,27,12,12,24,95,167,160,643,40,11,150,24,24,8,29,5,4,6,1,1,0,1,3,9,6,2,3,pg18d0n16nZ4gol0JGs
31,255,269,75,34,73,33,34,672,12,74,28,62,477,35,363,25,7,20,18,5,65,17,33,8,20,21,9,27,19,4,229,20,6,1,1,0,orh5s9ervEdWvp1A44Y
207,49,35,234,34,81,35,105,49,69,46,21,52,412,25,338,293,8,74,50,42,52,201,35,214,115,56,16,48,27,2,12,9,12,17,2,5,p4879sl5eC0VAiGolPi
620,7,75,160,35,227,52,105,47,328,74,18,150,271,114,119,81,124,142,50,35,45,42,10,8,4,44,4,29,12,2,23,5,3,14,0,3,pdygxqenaWP9lJ0VvI2
724,1340,15,21,9,24,5,25,5,335,5,11,21,21,42,40,132,6,14,3,38,7,21,12,163,29,6,1,0,1,0,0,0,0,0,2,3,oqe2h0fty6Ghnc5hMwI
482,37,45,141,193,88,128,157,26,59,93,41,429,54,635,54,44,85,18,36,44,86,16,16,3,9,2,14,5,4,11,10,5,7,2,0,2,pgqp3lwakno4moS9cpf
63,241,80,133,492,279,45,51,808,48,54,53,88,122,62,41,28,8,20,19,36,17,14,116,5,23,4,0,9,65,7,29,15,3,2,0,1,pawzikaxq99f097MtM9
343,29,66,106,161,108,81,64,28,98,56,53,65,93,50,127,54,1022,18,59,220,67,5,29,5,17,3,5,4,14,19,4,0,3,3,0,2,pghtj8ptq1jDUcD9bIJ
211,2773,5,11,1,1,4,4,4,15,4,0,1,2,4,2,6,0,5,2,6,2,5,1,0,1,2,0,2,0,0,3,1,0,0,0,2,pbjqb8vrf85MPIjMI2Q
